time,magnitude
0.0,270534
3414.0,270534
528623.0,720994
58.0,1819
80.0,687
93.0,474
110.0,3344
390.0,563
917.0,245
932.0,505
1501.0,625
2021.0,5833
2422.0,741
2582.0,14290
3007.0,764
3716.0,554
3782.0,194
3926.0,30
4001.0,4129
4244.0,133
4430.0,1
4804.0,81
6275.0,91
6774.0,37
6293.0,166
6840.0,1331
7041.0,5470
7188.0,1251164
7235.0,1583
7295.0,386
7561.0,87
7640.0,114
7796.0,114
7878.0,9
7958.0,3206
8290.0,138
8512.0,594
8573.0,1042
8577.0,161
8882.0,813
9063.0,799
9154.0,867
9342.0,776
9749.0,2031
9798.0,29
10413.0,128
10692.0,1965
10917.0,128
11314.0,111
12216.0,794
12615.0,4310
11424.0,628
11722.0,157
11866.0,1
11901.0,82
12274.0,4310
13061.0,297
13613.0,268
13788.0,82
15063.0,3508
15225.0,10
16448.0,101
16475.0,24972
18247.0,17
19070.0,63
15583.0,175
19098.0,1
19127.0,486
19247.0,336
19344.0,27
19372.0,1458
19443.0,31
19462.0,1777
19672.0,4196
20115.0,8135
20375.0,183
19523.0,41
19641.0,295
20516.0,2716
20889.0,6714
22314.0,1708
23869.0,638
20110.0,101
20542.0,2073
20655.0,219
22996.0,16
24648.0,2600
25598.0,47
21013.0,284
23721.0,638
21198.0,108
21293.0,742
21398.0,20
24032.0,436
24276.0,13615
27599.0,575
28659.0,379
29390.0,257
29400.0,609
32517.0,205
33237.0,9
30283.0,143
37611.0,26
39358.0,117
24629.0,153
24955.0,183
25430.0,159
25766.0,1
30015.0,64
32915.0,24
55834.0,62
57810.0,1394
57938.0,10099
33744.0,15
34534.0,1516
39605.0,1182
40066.0,891
41430.0,0
42451.0,415
45824.0,1265
49697.0,849
55274.0,50
43226.0,46
44027.0,1512
47898.0,917
53873.0,12
57797.0,1556
60196.0,276
60257.0,147
61020.0,198
61645.0,3237
62266.0,209
66885.0,177
61905.0,79
62002.0,113
67082.0,25
69645.0,27
70477.0,120
77116.0,96
77179.0,24
77394.0,61
77528.0,2245
77557.0,605
80339.0,144
80568.0,885
80645.0,3175
81120.0,1
70655.0,31
70893.0,579
71129.0,4
73109.0,174
76689.0,4
76831.0,6
76833.0,7
77200.0,6
77737.0,1891
79109.0,115
80935.0,377
82073.0,7273
83412.0,10
84016.0,41
86490.0,3850
82510.0,30
82951.0,2449
85446.0,89
89592.0,905
89697.0,4199
89956.0,39
89719.0,603
89737.0,100
89789.0,220
89999.0,10
90259.0,33
90704.0,749
85616.0,251
87984.0,1
89820.0,455
89911.0,146
90039.0,14
90714.0,104
91166.0,211
92300.0,167
93913.0,6386
91063.0,31
91730.0,85
91819.0,1351
92371.0,622
92389.0,56
93087.0,469
94865.0,45
95313.0,188
97844.0,61
122423.0,266
123274.0,461
102115.0,301
102475.0,6
103018.0,580
126189.0,165
127018.0,56
132200.0,141
110734.0,55
112298.0,12
127245.0,10
